"","ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","GENENAME","ENTREZID"
"1","ENSMUSG00000002985",2571.2957771569,-7.1636773657328,0.278707533454992,-25.703206787877,1.07627264294145e-145,1.3454484309411e-141,"Apoe","apolipoprotein E","11816"
"2","ENSMUSG00000027562",2126.08486978832,-6.50634817769169,0.297497474042861,-21.870263600135,4.98685655672006e-106,3.11703469077787e-102,"Car2","carbonic anhydrase 2","12349"
"3","ENSMUSG00000049422",1864.31295743217,-4.89053139050611,0.227465377439315,-21.5001133164138,1.55308284183798e-102,6.47169620193888e-99,"Chchd10","coiled-coil-helix-coiled-coil-helix domain containing 10","103172"
"4","ENSMUSG00000057729",1505.85905093184,-6.844530883518,0.340866625549841,-20.0797918320026,1.10858342892729e-89,1.97977163500286e-86,"Prtn3","proteinase 3","19152"
"5","ENSMUSG00000069919",952.722917736433,-6.9354098284139,0.359773010308075,-19.2771820834339,8.35033433917049e-83,9.48977541581548e-80,"Hba-a1","hemoglobin alpha, adult chain 1","15122"
"6","ENSMUSG00000040314",1112.47626906825,-7.7389972403255,0.41113857116835,-18.8233305825169,4.86294446956062e-79,4.67628221645979e-76,"Ctsg","cathepsin G","13035"
"7","ENSMUSG00000009350",1879.29621951571,-5.86641251670555,0.32141492683179,-18.2518359509037,2.00071062503026e-74,1.66739223490022e-71,"Mpo","myeloperoxidase","17523"
"8","ENSMUSG00000059305",951.440345038995,-8.6252835684114,0.51307898348722,-16.8108300008477,2.03304724851485e-63,1.27075618268421e-60,"Vpreb1","pre-B lymphocyte gene 1","22362"
"9","ENSMUSG00000025014",1136.86119185192,-4.34170845855009,0.264489779149782,-16.4154111077818,1.48372450109851e-60,8.83239999439642e-58,"Dntt","deoxynucleotidyltransferase, terminal","21673"
"10","ENSMUSG00000054428",1222.86507843652,-3.5534029886173,0.232208717713064,-15.3026252571972,7.34337509124606e-53,3.53075123137181e-50,"Atpif1","ATPase inhibitory factor 1","11983"
"11","ENSMUSG00000023571",556.57190460086,-5.29596221761946,0.360005999751981,-14.7107609908391,5.49855727285537e-49,2.54583201733204e-46,"C1qtnf12","C1q and tumor necrosis factor related 12","67389"
"12","ENSMUSG00000034708",484.404208071934,-4.86201976548367,0.339773694449193,-14.309582657261,1.90654013858036e-46,8.51202081156898e-44,"Grn","granulin","14824"
"13","ENSMUSG00000040466",410.409623542746,-5.82756658947059,0.407486598552961,-14.3012472316024,2.1492286117088e-46,9.26465754309369e-44,"Blvrb","biliverdin reductase B (flavin reductase (NADPH))","233016"
"14","ENSMUSG00000054717",650.572201099717,-3.97347047838835,0.280065724587574,-14.1876357210069,1.09281349060693e-45,4.55375381535908e-43,"Hmgb2","high mobility group box 2","97165"
"15","ENSMUSG00000021871",512.058383220348,-4.18290931447357,0.306854500642903,-13.6315723110132,2.59919326605048e-42,8.78176081591812e-40,NA,NA,NA
"16","ENSMUSG00000063856",2933.74773349244,-2.79611137737383,0.206649572337318,-13.5306903650867,1.03051292369088e-41,3.3901163313315e-39,"Gpx1","glutathione peroxidase 1","14775"
"17","ENSMUSG00000000903",640.997678974267,-8.91525948409885,0.659334297326588,-13.5216073549453,1.16600010364965e-41,3.73747879377544e-39,"Vpreb3","pre-B lymphocyte gene 3","22364"
