"Chr.x"	"Start.x"	"End.x"	"Peak Score.x"	"Chr.y"	"Start.y"	"End.y"	"Peak Score.y"
"chr4"	33246691	33247691	147	"chr4"	33247826	33248826	49
"chr9"	44881753	44882753	39	"chr9"	44881203	44882203	44
"chr9"	44880545	44881545	38	"chr9"	44881203	44882203	44
"chr4"	135153053	135154053	86	"chr4"	135120813	135121813	65
"chr7"	59229262	59230262	73	"chr7"	59228534	59229534	51
"chr7"	59229262	59230262	73	"chr7"	59228534	59229534	51
"chr13"	24801637	24802637	101	"chr13"	24801142	24802142	32
"chr13"	24799959	24800959	82	"chr13"	24801142	24802142	32
"chr3"	100489162	100490162	121	"chr3"	100488310	100489310	35
"chr12"	86891804	86892804	43	"chr12"	86883387	86884387	77
"chr17"	27565093	27566093	78	"chr17"	27564799	27565799	59
"chr10"	128524892	128525892	40	"chr10"	128524367	128525367	36
"chr10"	128525269	128526269	78	"chr10"	128524367	128525367	36
"chr10"	128525926	128526926	163	"chr10"	128524367	128525367	36
"chr1"	130461876	130462876	107	"chr1"	130462169	130463169	85
"chr14"	67932575	67933575	76	"chr14"	67933310	67934310	54
"chr13"	55189798	55190798	201	"chr13"	55211638	55212638	35
"chr7"	4460409	4461409	122	"chr7"	4460762	4461762	47
"chr2"	165993010	165994010	130	"chr2"	165992337	165993337	53
