"PeakID (cmd=annotatePeaks.pl clp_cd8_H3K4me3.txt mm10 -size -500,500)",Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
clp_H3K4me3_1_peak_16666,chrUn_JH584304,59306,60306,+,1051,NA,promoter-TSS (NR_003518),promoter-TSS (NR_003518),-117,NR_003518,66776,Mm.247625,NR_003518,,Pisd-ps3,4933439C20Rik,"phosphatidylserine decarboxylase, pseudogene 3",pseudo
clp_H3K4me3_1_peak_16664,chrUn_GL456389,10142,11142,+,526,NA,NA,GSAT_MM|Satellite|Satellite,NA,NA,,,,,,,,
clp_H3K4me3_1_peak_12740,chr5,143328744,143329744,+,383,NA,promoter-TSS (NR_153112),promoter-TSS (NR_153112),-6,NM_028379,72881,Mm.261606,NM_028379,ENSMUSG00000001844,Zdhhc4,1810021D01Rik|2900029I10Rik|DHHC-4,"zinc finger, DHHC domain containing 4",protein-coding
clp_H3K4me3_1_peak_1736,chr10,95323200,95324200,+,322,NA,promoter-TSS (NM_001330138),promoter-TSS (NM_001330138),9,NM_001330138,12905,Mm.473739,NM_009950,ENSMUSG00000045867,Cradd,RAIDD,CASP2 and RIPK1 domain containing adaptor with death domain,protein-coding
clp_H3K4me3_1_peak_2668,chr11,78697344,78698344,+,321,NA,promoter-TSS (NM_008702),promoter-TSS (NM_008702),-419,NM_008702,18099,Mm.9001,NM_008702,ENSMUSG00000017376,Nlk,AI194375,nemo like kinase,protein-coding
clp_H3K4me3_1_peak_10095,chr3,88324751,88325751,+,320,NA,"intron (NM_020003, intron 1 of 5)","intron (NM_020003, intron 1 of 5)",228,NM_020003,56700,Mm.439922,NM_020003,ENSMUSG00000001418,Glmp,0610031J06Rik|AB027141|NCU-G1,glycosylated lysosomal membrane protein,protein-coding
clp_H3K4me3_1_peak_14157,chr7,45062263,45063263,+,315,NA,"intron (NM_025533, intron 1 of 8)","intron (NM_025533, intron 1 of 8)",334,NM_025533,66394,Mm.272139,NM_025533,ENSMUSG00000003421,Nosip,2310061K06Rik|CGI-25,nitric oxide synthase interacting protein,protein-coding
clp_H3K4me3_1_peak_8737,chr2,32137185,32138185,+,314,NA,Intergenic,Intergenic,-13463,NM_172661,227723,Mm.25504,NM_172661,ENSMUSG00000039262,Prrc2b,5830434P21Rik|AI173903|Bat2l|Bat2l1|D430039P21|mKIAA0515,proline-rich coiled-coil 2B,protein-coding
clp_H3K4me3_1_peak_6872,chr17,33940015,33941015,+,308,NA,promoter-TSS (NM_010385),promoter-TSS (NM_010385),-172,NM_010385,14976,Mm.2948,NM_010385,ENSMUSG00000024309,Pfdn6,H-2Ke2|H2-Ke2|Ke-2,prefoldin subunit 6,protein-coding
clp_H3K4me3_1_peak_15593,chr8,111991519,111992519,+,304,NA,"intron (NM_013925, intron 1 of 9)","intron (NM_013925, intron 1 of 9)",283,NM_001357186,30947,Mm.282162,NM_013925,ENSMUSG00000031949,Adat1,MMADAT1,"adenosine deaminase, tRNA-specific 1",protein-coding
