"","ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","GENENAME","ENTREZID"
"1","ENSMUSG00000035042",9224.56995630688,8.55501429206355,0.631937883184945,13.5377455913018,9.3618136729634e-42,1.09982587029974e-37,"Ccl5","chemokine (C-C motif) ligand 5","20304"
"2","ENSMUSG00000032011",1293.73907380209,6.53436374407842,0.497861746993152,13.1248560138289,2.37233228802205e-39,1.39350798598415e-35,"Thy1","thymus cell antigen 1, theta","21838"
"3","ENSMUSG00000057058",542.056032328999,7.69482494370835,0.609081272688506,12.6334945577018,1.38010255933933e-36,5.40448162237283e-33,"Skap1","src family associated phosphoprotein 1","78473"
"4","ENSMUSG00000027863",499.691802806856,6.28419362539808,0.511100862257715,12.2954079898018,9.58714791639712e-35,2.25259627443667e-31,"Cd2","CD2 antigen","12481"
"5","ENSMUSG00000076928",1111.24085972662,9.1970955983824,0.747081382999055,12.310701093182,7.9331043755027e-35,2.25259627443667e-31,NA,NA,NA
"6","ENSMUSG00000048251",831.749032571424,9.34761105014156,0.782744700536406,11.942094330036,7.14023464565389e-33,1.39805794361903e-29,"Bcl11b","B cell leukemia/lymphoma 11B","58208"
"7","ENSMUSG00000024399",1811.89904404838,5.06343694369339,0.434288604618605,11.6591522085645,2.06084102092536e-31,3.45868004483302e-28,"Ltb","lymphotoxin B","16994"
"8","ENSMUSG00000002033",408.31246292577,8.30617162273592,0.772166567666949,10.7569687299885,5.49479523977961e-27,5.86844131608463e-24,"Cd3g","CD3 antigen, gamma polypeptide","12502"
"9","ENSMUSG00000024677",737.509564316686,6.02243353404583,0.559263817210023,10.768501999807,4.84825065744904e-27,5.86844131608463e-24,"Ms4a6b","membrane-spanning 4-domains, subfamily A, member 6B","69774"
"10","ENSMUSG00000054435",580.333997131668,5.82887748791503,0.541731110619143,10.7597244715247,5.33293742873015e-27,5.86844131608463e-24,"Gimap4","GTPase, IMAP family member 4","107526"
"11","ENSMUSG00000025357",919.915904757275,5.38418573959494,0.521881494885366,10.3168742183081,5.91164570072571e-25,5.78750114101047e-22,"Dgka","diacylglycerol kinase, alpha","13139"
"12","ENSMUSG00000076498",2994.91461985102,8.2866009302298,0.80969577828457,10.2342153095893,1.39319982080226e-24,1.25902396113731e-21,NA,NA,NA
"13","ENSMUSG00000022696",421.084570508195,8.62379297646292,0.845114197302207,10.2042931049934,1.89697441900018e-24,1.48571036496094e-21,"Sidt1","SID1 transmembrane family, member 1","320007"
"14","ENSMUSG00000049866",807.284867045402,4.61380317178435,0.458741437187533,10.0575243432789,8.51116751420325e-24,6.24932474730374e-21,"Arl4c","ADP-ribosylation factor-like 4C","320982"
"15","ENSMUSG00000039264",518.993721296131,6.95171952899195,0.72097727094192,9.64207861908029,5.31016393520369e-22,3.28335820583016e-19,"Gimap3","GTPase, IMAP family member 3","83408"
"16","ENSMUSG00000000782",773.679024546933,6.20097239649466,0.662152791517748,9.36486635098397,7.61466003077092e-21,4.25985838292842e-18,"Tcf7","transcription factor 7, T cell specific","21414"
"17","ENSMUSG00000068227",368.095024403216,7.1845750040195,0.783017299414179,9.17549971040832,4.49484816614619e-20,2.40024892072207e-17,"Il2rb","interleukin 2 receptor, beta chain","16185"
"18","ENSMUSG00000016194",185.043181629583,5.80503811267444,0.637755035461679,9.1023007109181,8.84381770653129e-20,4.15588681665318e-17,"Hsd11b1","hydroxysteroid 11-beta dehydrogenase 1","15483"
"19","ENSMUSG00000027347",187.321144940878,6.75888525290088,0.748194299231177,9.03359629957902,1.66120674128909e-19,7.22809510987565e-17,"Rasgrp1","RAS guanyl releasing protein 1","19419"
"20","ENSMUSG00000020846",389.837975247752,4.69761957514489,0.525552098731359,8.93844699028806,3.94677727274019e-19,1.65595497857685e-16,"Rflnb","refilin B","76566"
"21","ENSMUSG00000051735",532.890866255274,3.81596003431917,0.431590695145919,8.84161794319733,9.43423454223969e-19,3.82184094490455e-16,"Rinl","Ras and Rab interactor-like","320435"
"22","ENSMUSG00000020297",299.510194516198,5.30801537066933,0.61495627473467,8.63153298656808,6.0535099207269e-18,2.22239482964686e-15,"Nsg2","neuron specific gene family member 2","18197"
"23","ENSMUSG00000026875",249.066057591345,7.04152030778565,0.829661163787862,8.48722420082582,2.11631233346495e-17,7.53407190713524e-15,"Traf1","TNF receptor-associated factor 1","22029"
"24","ENSMUSG00000078763",149.996291279451,6.43909419814823,0.777639717697865,8.28030519995894,1.22859992390704e-16,4.12388340173142e-14,"Slfn1","schlafen 1","20555"
"25","ENSMUSG00000025647",1840.9951028141,3.34200238549535,0.405141996955725,8.24896557406407,1.59771449605597e-16,5.21387497212933e-14,"Shisa5","shisa family member 5","66940"
"26","ENSMUSG00000072620",153.763562302977,5.03160293585211,0.612893742853115,8.20958444187931,2.21955325132842e-16,7.04738151259629e-14,"Slfn2","schlafen 2","20556"
"27","ENSMUSG00000001281",575.84670960688,4.04416524840449,0.495566382352454,8.16069328433223,3.33107052778833e-16,1.00342093744762e-13,"Itgb7","integrin beta 7","16421"
"28","ENSMUSG00000032446",137.420406045771,6.28743975363872,0.784559363040801,8.01397580582024,1.11058564883066e-15,3.10646671487203e-13,"Eomes","eomesodermin","13813"
"29","ENSMUSG00000020395",277.34129340457,6.7966131525465,0.855397525166887,7.9455609264482,1.93314011006776e-15,5.16148409388093e-13,"Itk","IL2 inducible T cell kinase","16428"
"30","ENSMUSG00000061577",158.126923526235,7.53287981208602,0.948987900348665,7.93780385326134,2.05792434980524e-15,5.37255450255821e-13,"Adgrg5","adhesion G protein-coupled receptor G5","382045"
"31","ENSMUSG00000026989",163.141564226002,7.97054663710181,1.01219235946752,7.8745374459207,3.42005766925434e-15,8.73452989095652e-13,"Dapl1","death associated protein-like 1","76747"
"32","ENSMUSG00000026117",276.602928148706,4.31443697593612,0.548745527317039,7.86236381193034,3.76951307325197e-15,9.42217863501365e-13,"Zap70","zeta-chain (TCR) associated protein kinase","22637"
"33","ENSMUSG00000018168",160.229212892131,7.93486370723968,1.02844953709352,7.7153651404854,1.20636358636765e-14,2.72545373320137e-12,"Ikzf3","IKAROS family zinc finger 3","22780"
"34","ENSMUSG00000015314",244.646138656511,3.82005756437215,0.495962391159624,7.7023129827251,1.33625103087485e-14,2.96193907749392e-12,"Slamf6","SLAM family member 6","30925"
"35","ENSMUSG00000028071",182.542135900004,6.75926383581221,0.887981985210766,7.61193802170196,2.700160456831e-14,5.66455090122333e-12,"Sh2d2a","SH2 domain containing 2A","27371"
"36","ENSMUSG00000045092",201.121546023745,5.89179681993198,0.783945910506469,7.51556547584461,5.66654676366075e-14,1.1477688168877e-11,"S1pr1","sphingosine-1-phosphate receptor 1","13609"
"37","ENSMUSG00000000682",2018.52689309327,2.8375291042956,0.382217662941189,7.42385655979537,1.13758357360657e-13,2.26514098690339e-11,"Cd52","CD52 antigen","23833"
"38","ENSMUSG00000069833",210.929106353957,5.01191900869045,0.684405016422151,7.32303079087753,2.42432145826318e-13,4.66900467076653e-11,"Ahnak","AHNAK nucleoprotein (desmoyokin)","66395"
"39","ENSMUSG00000091575",103.906910247777,6.58879330509094,0.904671813731099,7.28307570224506,3.26294002618723e-13,6.08460625835675e-11,"2010016I18Rik","RIKEN cDNA 2010016I18 gene","69206"
"40","ENSMUSG00000015143",477.067721278968,4.48158817976562,0.621252079520913,7.21379988493827,5.44117024490777e-13,9.83428739033484e-11,"Actn1","actinin, alpha 1","109711"
"41","ENSMUSG00000025163",196.118239939867,5.53365382678509,0.781862678890943,7.07752649689645,1.46750140450476e-12,2.53532448531204e-10,"Cd7","CD7 antigen","12516"
"42","ENSMUSG00000021108",184.120011661132,3.92954471926323,0.561058089538148,7.0038108219738,2.49092406828639e-12,4.2410689788737e-10,"Prkch","protein kinase C, eta","18755"
"43","ENSMUSG00000053113",129.27116693453,4.22596894878261,0.604132244473279,6.9951057693785,2.65058887964006e-12,4.44844545114448e-10,"Socs3","suppressor of cytokine signaling 3","12702"
"44","ENSMUSG00000054892",130.769955204966,8.24426243620544,1.18563768195379,6.95344164721544,3.56480443866417e-12,5.866497276948e-10,"Txk","TXK tyrosine kinase","22165"
"45","ENSMUSG00000033107",97.0227133525184,4.85118228583627,0.700766181874476,6.92268321633311,4.43168056800593e-12,7.13197031684023e-10,"Rnf125","ring finger protein 125","67664"
"46","ENSMUSG00000005465",434.68169399984,4.58302093494961,0.662292495659311,6.91993487014709,4.51851336823649e-12,7.17344527703275e-10,"Il27ra","interleukin 27 receptor, alpha","50931"
"47","ENSMUSG00000066621",540.180428962645,3.03006736997356,0.438910604789279,6.90360938403003,5.06975850178772e-12,7.73500297129898e-10,"Tecpr1","tectonin beta-propeller repeat containing 1","70381"
"48","ENSMUSG00000020644",315.884636794149,3.85717473520592,0.562263990752214,6.86007782580149,6.88230433071653e-12,1.01066639096572e-09,"Id2","inhibitor of DNA binding 2","15902"
"49","ENSMUSG00000027514",128.793349668029,4.11332396240515,0.603406298654162,6.81683961798131,9.30650598497588e-12,1.34978805322835e-09,"Zbp1","Z-DNA binding protein 1","58203"
"50","ENSMUSG00000049775",6935.06487271322,2.68001897812546,0.395394631986806,6.77808640106901,1.21778020384102e-11,1.72367251020774e-09,"Tmsb4x","thymosin, beta 4, X chromosome","19241"
"51","ENSMUSG00000031304",1748.00178977124,3.53993099412714,0.523209483488633,6.76580051745955,1.32574104789607e-11,1.83233009772741e-09,"Il2rg","interleukin 2 receptor, gamma chain","16186"
