"Chr"	"Start"	"End"	"Peak Score"
"chr3"	14885636	14886636	71
"chr3"	14886273	14887273	73
"chr10"	75935458	75936458	96
"chr19"	41029332	41030332	50
"chr19"	41030120	41031120	90
"chr11"	102430182	102431182	97
"chr7"	27447622	27448622	58
"chr8"	57511718	57512718	113
"chr8"	57510831	57511831	120
"chr2"	53190318	53191318	135
"chr8"	69183561	69184561	123
"chr2"	53190318	53191318	135
"chr10"	18196841	18197841	88
"chr8"	107096288	107097288	100
"chr10"	75950817	75951817	37
"chr5"	121592663	121593663	62
"chr7"	30393762	30394762	120
"chr2"	164769054	164770054	114
"chr2"	164769514	164770514	151
"chr8"	94976953	94977953	65
"chr1"	165763462	165764462	129
"chr7"	127041862	127042862	148
"chr2"	163658240	163659240	130
"chr8"	84701411	84702411	87
"chr9"	21759469	21760469	133
"chr9"	21760203	21761203	97
"chr4"	95051311	95052311	87
"chr4"	95052371	95053371	80
"chr4"	95160704	95161704	39
"chr7"	135714977	135715977	112
"chr7"	135715715	135716715	29
"chr7"	135714977	135715977	112
"chr7"	143052399	143053399	74
"chr10"	69352281	69353281	67
"chr10"	69351505	69352505	98
"chr10"	69351505	69352505	98
"chr2"	148874450	148875450	116
"chr11"	99023068	99024068	133
"chr10"	60277565	60278565	136
"chr8"	105596175	105597175	56
"chr14"	63122412	63123412	117
"chr3"	95929144	95930144	176
"chr8"	71592117	71593117	97
"chr8"	117498185	117499185	87
"chr8"	117498185	117499185	87
"chr6"	48840218	48841218	53
"chr6"	125190774	125191774	188
"chr19"	40992952	40993952	64
"chr18"	10617801	10618801	174
"chr8"	84969167	84970167	75
"chr13"	56133740	56134740	87
"chr9"	70420961	70421961	119
"chr7"	122158819	122159819	101
"chr12"	17266514	17267514	158
"chr14"	33184797	33185797	137
"chr8"	95019849	95020849	93
"chr8"	75108546	75109546	78
"chr8"	75109448	75110448	110
"chr7"	102441816	102442816	105
"chr8"	122697188	122698188	116
"chr8"	122698305	122699305	75
"chr3"	108016950	108017950	45
"chr3"	108017720	108018720	99
"chr16"	95457309	95458309	98
"chr16"	95457857	95458857	106
"chr16"	95457309	95458309	98
"chr4"	62519497	62520497	80
