"","Chr","Start","End","Gene Name"
"1","chr4",129572630,129573630,"Lck"
"2","chr4",33247826,33248826,"Pnrc1"
"3","chr9",44881203,44882203,"Kmt2a"
"4","chr9",123850932,123851932,"Fyco1"
"5","chr4",135120813,135121813,"Runx3"
"6","chr7",59228534,59229534,"Ube3a"
"7","chr13",24801142,24802142,"BC005537"
"8","chr3",100488310,100489310,"Tent5c"
"9","chr12",86883387,86884387,"Irf2bpl"
"10","chr17",27564799,27565799,"AI413582"
"11","chr10",128524367,128525367,"Esyt1"
"12","chr1",130462169,130463169,"Cd55"
"13","chr14",67933310,67934310,"Dock5"
"14","chr13",55211638,55212638,"Nsd1"
"15","chr7",4460762,4461762,"Eps8l1"
"16","chr2",165992337,165993337,"Ncoa3"
