PeakID (cmd=annotatePeaks.pl clp_nocd8_H3K4me3.txt mm10 -size -500,500)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
clp_H3K4me3_1_peak_1102	chr10	13192413	13193413	+	376	NA	intron (NM_181470, intron 1 of 10)	CpG	224	NM_181470	353258	Mm.117581	NM_181470	ENSMUSG00000019814	Ltv1	2610020N02Rik	LTV1 ribosome biogenesis factor	protein-coding
clp_H3K4me3_1_peak_2934	chr11	97883393	97884393	+	352	NA	intron (NM_001081435, intron 1 of 10)	CpG	261	NM_001081435	72973	Mm.245939	NM_001081435	ENSMUSG00000070336	Fbxo47	2900052P03Rik|Gm1562	F-box protein 47	protein-coding
clp_H3K4me3_1_peak_4754	chr14	20294431	20295431	+	350	NA	intron (NM_001359870, intron 1 of 7)	intron (NM_001359870, intron 1 of 7)	241	NM_001359869	67725	Mm.317636	NM_026341	ENSMUSG00000021809	Nudt13	4933433B15Rik	nudix (nucleoside diphosphate linked moiety X)-type motif 13	protein-coding
clp_H3K4me3_1_peak_2522	chr11	70525147	70526147	+	347	NA	intron (NM_008946, intron 1 of 5)	intron (NM_008946, intron 1 of 5)	290	NM_008946	19175	Mm.98	NM_008946	ENSMUSG00000018286	Psmb6	Lmp19|Mpnd	proteasome (prosome, macropain) subunit, beta type 6	protein-coding
clp_H3K4me3_1_peak_2959	chr11	98728681	98729681	+	339	NA	intron (NM_001361995, intron 1 of 25)	intron (NM_001361995, intron 1 of 25)	193	NM_001361994	23989	Mm.246493	NM_011869	ENSMUSG00000017210	Med24	911GSE|AU040102|AW547152|D11Ertd307e|DRIP100|Gse2|Pparb2|Pparbp2|R75526|Thrap4|Trap100	mediator complex subunit 24	protein-coding
clp_H3K4me3_1_peak_10129	chr3	89202497	89203497	+	333	NA	promoter-TSS (NM_008094)	promoter-TSS (NM_008094)	69	NR_122037	14466	Mm.5031	NM_008094	ENSMUSG00000028048	Gba	GBA1|GC|GCase|GLUC|betaGC	glucosidase, beta, acid	protein-coding
clp_H3K4me3_1_peak_858	chr1	171360570	171361570	+	327	NA	promoter-TSS (NM_001033039)	promoter-TSS (NM_001033039)	-272	NM_001033039	68874	Mm.10756	NM_001033039	ENSMUSG00000045259	Klhdc9	1190002J23Rik|AA087357|ESTM31	kelch domain containing 9	protein-coding
clp_H3K4me3_1_peak_8992	chr2	75938127	75939127	+	322	NA	promoter-TSS (NM_028235)	promoter-TSS (NM_028235)	-165	NM_028235	72421	Mm.275109	NM_028235	ENSMUSG00000075273	Ttc30b	2510042P03Rik|Tcc30b	tetratricopeptide repeat domain 30B	protein-coding
clp_H3K4me3_1_peak_4909	chr14	50807715	50808715	+	317	NA	promoter-TSS (NR_002142)	promoter-TSS (NR_002142)	299	NM_009632	11546	Mm.281482	NM_009632	ENSMUSG00000036023	Parp2	ADPRT-2|ARTD2|Adprt2|Adprtl2|Aspartl2|C78626|PARP-2|mPARP-2|pADPRT-2	poly (ADP-ribose) polymerase family, member 2	protein-coding
clp_H3K4me3_1_peak_1781	chr10	111972586	111973586	+	314	NA	intron (NM_178610, intron 1 of 9)	CpG	391	NM_178610	52705	Mm.34606	NM_178610	ENSMUSG00000063334	Krr1	2610511F02Rik|AI255219|AI428520|D10Ertd773e|Hrb2	KRR1, small subunit (SSU) processome component, homolog (yeast)	protein-coding
